Price,District,City,Town,Type,EnergyCertificate,Floor,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,EnergyEfficiencyLevel,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,LotSize,NumberOfBathrooms
125000.0,6.0,185.0,1449.0,15.0,9.0,14.0,2.0,1.0,1982.0,55.0,121.4,11.0,2.0,1.0,2.0,2.0,1.8,0.2,55.0,581.4,1.0
340000.0,6.0,157.0,1286.0,0.0,4.0,5.0,0.0,0.0,1984.0,152.0,174.6,11.0,2.0,1.0,2.0,3.0,3.0,0.0,152.0,3415.4,2.0
325000.0,6.0,256.0,2144.0,7.0,5.0,14.0,1.0,1.0,2004.0,110.0,124.0,11.0,2.0,0.0,2.0,3.0,2.8,1.0,102.0,3982.6,3.0
585000.0,6.0,108.0,1852.0,0.0,0.0,14.0,1.0,1.0,2022.0,94.0,117.0,11.0,2.0,1.0,2.0,2.0,2.4,0.2,74.0,2048.2,2.0
330000.0,6.0,111.0,1930.0,0.0,0.0,1.0,1.0,1.0,2023.0,308.0,95.0,11.0,2.0,1.0,2.0,2.0,2.8,1.0,77.0,2213.8,2.0
205000.0,6.0,185.0,1449.0,17.0,4.0,14.0,0.0,0.0,2005.0,122.0,111.2,11.0,2.0,0.0,2.0,2.6,2.0,0.2,126.4,861.8,0.0
150000.0,6.0,85.0,759.0,17.0,2.0,14.0,0.0,0.0,2001.8,100.0,228.0,11.0,2.0,0.0,2.0,0.8,2.2,0.2,228.0,3967.2,1.0
8000.0,6.0,4.0,53.0,0.0,9.0,2.0,1.0,1.0,1974.0,41.0,47.6,11.0,2.0,1.0,2.0,1.0,0.2,0.6,41.0,288.0,1.0
230000.0,6.0,108.0,1852.0,10.0,9.0,19.0,0.0,0.0,1964.2,407.0,407.0,11.0,2.0,0.0,2.0,0.0,1.8,0.2,200.0,2650.0,0.0
1000000.0,6.0,216.0,1787.0,4.0,9.0,19.0,3.0,1.0,1978.6,133616.0,133616.0,11.0,2.0,0.0,2.0,10.0,0.8,0.0,2148.0,2541.4,5.0
890000.0,6.0,224.0,1959.0,10.0,9.0,19.0,0.0,0.0,2001.8,2668.0,384.4,11.0,2.0,0.0,2.0,4.2,3.8,0.6,270.4,4412.0,0.0
615000.0,6.0,108.0,1852.0,0.0,0.0,0.0,1.0,1.0,2022.0,93.0,107.0,11.0,2.0,1.0,2.0,2.0,2.2,1.0,74.0,1236.2,2.0
87500.0,6.0,4.0,53.0,0.0,4.0,14.0,3.0,1.0,2008.0,30.0,157.6,11.0,2.0,1.0,2.0,0.0,2.6,0.8,30.0,552.0,1.0
45000.0,6.0,261.0,2173.0,10.0,9.0,19.0,0.0,0.0,1985.0,6750.0,3890.2,11.0,2.0,0.0,2.0,0.6,0.0,0.0,2961.6,3579.2,0.0
115000.0,6.0,111.0,134.0,10.0,9.0,19.0,0.0,0.0,1976.0,21740.0,4663.2,11.0,2.0,0.0,2.0,1.4,1.0,0.0,977.6,9662.8,0.0
310000.0,6.0,85.0,759.0,0.0,4.0,4.0,1.0,1.0,2009.0,139.0,110.0,11.0,2.0,1.0,2.0,3.0,2.2,0.6,139.0,372.0,2.0
135000.0,6.0,256.0,2144.0,7.0,9.0,19.0,1.0,1.0,1951.0,199.0,43.0,11.0,2.0,0.0,2.0,1.0,1.2,0.4,35.0,711.6,1.0
360000.0,6.0,185.0,1449.0,0.0,0.0,1.0,2.0,1.0,2023.0,700.0,155.0,11.0,2.0,1.0,2.0,3.0,4.0,0.2,114.0,20240.2,2.0
170000.0,6.0,256.0,2157.0,7.0,9.0,19.0,1.0,1.0,2023.0,180.0,146.0,11.0,2.0,0.0,2.0,3.0,2.6,0.0,88.0,4561.6,2.0
390000.0,6.0,85.0,759.0,4.0,9.0,19.0,0.0,0.0,1983.8,16250.0,2951.0,11.0,2.0,0.0,2.0,2.4,1.0,0.0,3556.0,1875.4,0.0
650000.0,6.0,65.0,137.0,17.0,4.0,19.0,0.0,0.0,2010.0,465.0,465.0,11.0,2.0,0.0,2.0,3.4,3.2,0.6,175.0,1076.0,2.0
1290000.0,6.0,85.0,1199.0,7.0,4.0,19.0,3.0,1.0,1994.0,1147.0,374.0,11.0,2.0,0.0,2.0,6.0,4.4,0.2,177.0,855.4,5.0
465000.0,6.0,85.0,759.0,0.0,0.0,14.0,1.0,1.0,2023.0,6058.0,179.0,11.0,2.0,1.0,2.0,3.0,3.0,0.0,119.0,9406.4,2.0
85000.0,6.0,13.0,113.0,10.0,9.0,19.0,0.0,0.0,1990.0,620.0,237.0,11.0,2.0,0.0,2.0,1.8,2.4,0.0,446.8,1460.4,0.0
1350000.0,6.0,185.0,1449.0,0.0,4.0,9.0,3.0,1.0,2003.0,2340.0,261.0,11.0,2.0,1.0,2.0,3.0,3.6,0.0,169.0,23724.6,4.0
159900.0,6.0,157.0,1286.0,0.0,6.0,1.0,0.0,0.0,2015.0,96.0,97.2,11.0,2.0,0.0,2.0,3.0,2.6,0.2,96.0,974.8,2.0
1300000.0,6.0,185.0,1449.0,7.0,5.0,19.0,1.0,1.0,1995.0,1688.0,266.0,11.0,2.0,0.0,2.0,5.0,4.6,0.0,226.0,8765.8,3.0
600000.0,6.0,157.0,1286.0,1.0,9.0,19.0,0.0,0.0,2015.0,276.0,292.6,11.0,2.0,0.0,2.0,5.4,2.4,0.0,276.0,20554.8,0.0
120000.0,6.0,224.0,1959.0,10.0,9.0,19.0,0.0,0.0,1962.0,210.0,90.6,11.0,2.0,0.0,2.0,3.4,1.8,0.0,129.4,1507.0,0.0
119900.0,6.0,4.0,1313.0,10.0,9.0,19.0,0.0,0.0,1991.4,12000.0,9413.8,11.0,2.0,0.0,2.0,0.0,0.0,0.0,11419.2,12281.0,0.0
380000.0,6.0,185.0,1449.0,0.0,0.0,4.0,2.0,1.0,2023.0,700.0,155.0,11.0,2.0,1.0,2.0,3.0,3.4,0.6,114.0,5667.8,2.0
360000.0,6.0,185.0,1449.0,0.0,0.0,2.0,2.0,1.0,2023.0,700.0,155.0,11.0,2.0,1.0,2.0,3.0,4.0,0.2,114.0,20240.2,2.0
199000.0,6.0,185.0,1449.0,7.0,4.0,19.0,0.0,0.0,2023.0,82.0,98.6,11.0,2.0,0.0,2.0,2.0,2.8,0.2,82.0,1254.4,2.0
195000.0,6.0,8.0,70.0,7.0,9.0,19.0,3.0,1.0,2002.0,278.0,164.0,11.0,2.0,0.0,2.0,1.0,2.0,0.4,131.0,278.4,1.0
355000.0,6.0,185.0,1449.0,0.0,0.0,3.0,2.0,1.0,2023.0,700.0,155.0,11.0,2.0,1.0,2.0,3.0,3.6,0.4,114.0,7641.8,2.0
